bearing2,year_t,spread_rate,snow_depth,tmin,tmean,ppt
229.25,1990,-1.10699,2175,-0.846333,16.8479996,355.0960083
229.5,1990,-0.402994667,2574.333333,-0.815166483,16.43095017,366.3340047
230.25,1990,0.449998857,2663.857143,-0.848047543,16.35617174,369.8097186
230.5,1990,5.4896498,2866.833333,-1.412388817,16.25478347,366.5318349
231.25,1990,2.734998,2522.4,-1.65720002,16.4520199,335.2297973
231.5,1990,3.881326667,2310.333333,-1.712056683,16.53574995,314.1050008
232.25,1990,4.005142914,2291.714286,-1.928477086,16.54738591,304.63014
232.5,1990,1.806681333,2370.333333,-2.281666583,16.37511698,301.9386648
233.25,1990,-4.53348995,2625.166667,-2.718889933,15.88755003,307.498998
233.5,1990,-7.609428529,2754.142857,-2.992952814,15.63109999,305.6054295
234.25,1990,-11.54439986,2997.6,-3.38613394,15.21625996,309.190802
234.5,1990,-12.7999998,3105.8,-3.39266598,15.19023992,311.2937927
235.25,1990,-12.67750505,2968,-3.12733495,15.5300999,305.5744934
235.5,1990,-8.98350525,3267.666667,-3.2188883,15.35099982,309.3478292
236.25,1990,6.80149505,4331.5,-3.47499995,14.938375,304.7600022
236.5,1990,4.596982867,4474.833333,-3.5745,14.92473332,306.8278351
237.25,1990,-0.723511,4247.25,-3.300665,15.38857483,303.2072525
237.5,1990,-0.3367089,4533.857143,-3.548761429,15.17835697,307.3807155
238.25,1990,-1.39548995,4227,-3.559719983,15.22861655,304.0545044
238.5,1990,-0.970144286,4048.285714,-3.866474243,14.90959999,305.4371425
239.25,1990,4.39421204,3969.6,-3.9117319,14.84843998,304.8109924
239.5,1990,13.72742871,3575.857143,-3.942714214,14.75288581,297.7989981
240.25,1990,7.961313533,3551.833333,-4.20938995,14.31505013,293.6445058
240.5,1990,5.42966,3495.166667,-4.3164449,14.19810012,292.652003
241.25,1990,5.83950995,2808.5,-4.15533325,14.43906658,275.610672
241.5,1990,7.20648005,2821.75,-4.2931649,14.24397493,271.8557587
242.25,1990,6.9958021,3127,-4.62119796,13.79470004,275.3706055
242.5,1990,6.5425,3820,-5.206223317,13.08515005,286.1556651
243.25,1990,5,4090.5,-5.3211701,12.92710015,290.6364899
243.5,1990,5.3049951,4382.125,-5.414457488,12.8732624,296.9321251
244.25,1990,6.43144,4664.571429,-5.501378514,12.76655701,301.9060015
244.5,1990,18.9979951,5207.75,-5.650664925,12.56459973,311.8470001
245.25,1990,30.7066002,5293,-5.60499794,12.62289978,313.4949951
245.5,1990,31.83139954,5956.4,-5.67293186,12.55306012,322.2373962
246.25,1990,36.3634987,6409.25,-5.7777474,12.36520028,330.9082489
246.5,1990,34.97366587,6720.333333,-5.799888317,12.41593347,330.4353333
247.25,1990,30.27259978,6581.6,-5.857734,12.25764028,339.3806091
247.5,1990,27.02971376,6490.714286,-5.895431386,12.12432849,348.278717
248.25,1990,25.4826,6473.6,-5.94186794,12.0383398,352.6105957
248.5,1990,23.02071406,8720.142857,-6.164285657,11.43995694,373.4507141
249.25,1990,19.63066607,13780.33333,-6.519498317,10.48918152,419.4704997
249.5,1990,16.4677146,17356,-6.608237243,10.20260564,452.3442819
250.25,1990,13.6113335,20226.83333,-6.709165167,10.01603333,471.9134979
250.5,1990,10.20750475,24833.16667,-7.0023868,9.517436683,521.3916626
251.25,1990,6.082432843,22671.28571,-6.903667243,9.7544857,526.0447126
251.5,1990,4.03601,25106.75,-7.012335075,9.50686265,576.7502442
252.25,1990,7.08580416,19308.2,-6.55080204,10.2304243,575.3109986
252.5,1990,8.628858571,15760.57143,-6.266050057,10.70428601,547.8794207
253.25,1990,8.605848471,12533.57143,-5.9291458,11.29071453,517.951852
253.5,1990,8.3245053,10056.66667,-5.6199467,11.96566675,485.3358409
254.25,1990,7.745333333,9459.833333,-5.59738835,12.18506668,478.9308421
254.5,1990,10.22766653,9133.666667,-5.5965,12.24751678,474.6621704
255.25,1990,9.1249852,8662.333333,-5.599665033,12.29123353,477.3053335
255.5,1990,8.276485,7507.666667,-5.5591651,12.49841673,468.6949971
256.25,1990,7.709422929,6513.571429,-5.5778558,12.45771433,453.4831369
256.5,1990,8.1779902,6645.5,-5.566943317,12.35661678,456.771164
257.25,1990,11.56850005,7164.25,-5.608124913,12.0956001,469.3591194
257.5,1990,11.9614997,7245,-5.511501567,12.2250835,486.7184957
258.25,1990,12.26900005,6832,-5.4127524,12.45685005,491.5082474
258.5,1990,12.69659978,6006.6,-5.32413598,12.6444399,485.9544006
259.25,1990,14.97650005,5802.5,-5.209582425,12.81925013,491.9710083
259.5,1990,16.00359994,5173.6,-4.96393202,13.25620004,486.9238098
260.25,1990,42.85857067,1476.571429,-4.489095629,14.48512854,436.255576
260.5,1990,42.47099988,1378.8,-4.55213412,14.51051982,429.3692078
229.25,1991,-1.88699,211.5,0.4395015,18.22060015,228.9244995
229.5,1991,-0.4565125,352.3333333,-0.0821105,18.1107502,234.1054993
230.25,1991,-0.698995333,451,-0.396722,18.0642503,237.8134995
230.5,1991,-5.052994,441.75,-0.9906665,18.0244999,235.9192467
231.25,1991,1.444505,339.6666667,-1.641999983,18.23163318,224.6459961
231.5,1991,1.973582857,242.8571429,-1.731285729,18.34627123,218.0039978
232.25,1991,2.82659802,226,-1.91746604,18.33943938,216.5487976
232.5,1991,3.3529999,145.3333333,-2.0627767,18.50266583,208.6046651
233.25,1991,7.242326733,136.5,-2.290274983,18.36154937,206.7746658
233.5,1991,3.0115668,407.7142857,-3.015284271,17.67880006,200.7034236
234.25,1991,7.8563434,474.6666667,-3.039276733,17.656717,193.1259969
234.5,1991,7.136329933,486.8333333,-3.042888417,17.6733335,190.6189982
235.25,1991,4.7059951,584.25,-3.129085025,17.6027751,186.8457489
235.5,1991,14.34433303,958.1666667,-3.1875017,17.35614967,220.4003321
236.25,1991,-6.974454243,1373.571429,-3.3289529,17.01795714,232.5207105
236.5,1991,-4.27399452,1194.4,-3.38800206,17.14095994,235.0806
237.25,1991,-3.931422143,1122.428571,-3.506381443,17.10312843,213.5064283
237.5,1991,-9.3995099,1091.333333,-3.7033333,17.0203997,193.3956655
238.25,1991,-10.39933297,1275.333333,-3.933611567,16.82231645,193.0098318
238.5,1991,-10.89714269,1411.142857,-4.076381286,16.6745428,196.4595686
239.25,1991,-8.61700485,2223,-4.3056698,16.19530055,214.5024948
239.5,1991,-5.99598505,2431,-4.3579998,15.8774004,220.9259949
240.25,1991,-1.97499,1799.333333,-4.415888217,15.96884998,203.7336655
240.5,1991,-0.3364016,1325.4,-4.40866592,16.10421964,190.2746002
241.25,1991,0.0712088,824,-4.28293198,16.4099596,169.4873993
241.5,1991,5.88101006,1402.4,-4.60393002,15.92595996,162.7051971
242.25,1991,4.879485,2003.333333,-5.02061005,15.34138328,168.7131653
242.5,1991,-0.4135,1486.333333,-5.018886667,15.49343328,161.0665004
243.25,1991,-2.43320204,1847.8,-5.18766606,15.31857986,160.0548035
243.5,1991,-3.365005,2297.25,-5.35658505,15.03917505,162.0755043
244.25,1991,4.077845543,2710.571429,-5.505858629,14.79424287,165.4228581
244.5,1991,-2.4813961,2517.6,-5.50720206,14.78541986,167.2835968
245.25,1991,-9.054993333,3839.166667,-5.653723317,14.29790022,172.1333313
245.5,1991,-5.76238024,3603.6,-5.69680002,14.4605402,170.8403992
246.25,1991,-1.4535075,2361,-5.713332525,14.81687498,165.9370003
246.5,1991,-3.536343433,2304.166667,-5.718889883,14.72366683,167.6536636
247.25,1991,-2.0276,2193.2,-5.66513588,14.72848034,169.1631958
247.5,1991,0.163498,2077.833333,-5.616946567,14.6988001,168.0721614
248.25,1991,0.11738892,2245,-5.59653398,14.65663988,167.003598
248.5,1991,1.32798945,5156.5,-5.7605012,14.1028998,176.7198753
249.25,1991,5.123715657,9070,-5.994667129,13.49822836,188.24343
249.5,1991,8.5920102,9996.833333,-6.032056667,13.40211662,193.5156708
250.25,1991,9.139274171,10316,-6.015001357,13.34521416,195.7094312
250.5,1991,10.39600023,12451.33333,-6.137001583,13.11264992,196.1963323
251.25,1991,12.70449495,7246.333333,-5.913611733,13.71044985,182.7789994
251.5,1991,18.4900004,6934.5,-5.858166783,13.6805501,196.4253337
252.25,1991,14.71433357,5876,-5.799388417,13.7872502,189.4139989
252.5,1991,10.20257161,3284.714286,-5.573331357,14.2295858,176.6088562
253.25,1991,10.68959978,4258.8,-5.51426592,14.30281986,182.8128021
253.5,1991,11.3299999,7122.333333,-5.469666633,14.21419973,203.2496694
254.25,1991,12.62833343,9917,-5.4940567,14.06023313,216.5725047
254.5,1991,12.7943331,10496,-5.50527835,14.03706647,220.2540029
255.25,1991,4.133577229,4302.428571,-5.6594771,14.39137133,191.9097159
255.5,1991,3.49650505,2424.5,-5.599943267,14.66861662,185.0398331
256.25,1991,3.1789934,2235.5,-5.6163316,14.78886668,186.1889979
256.5,1991,3.315673333,2309,-5.62949825,14.77678332,187.2189992
257.25,1991,2.782419943,2356.142857,-5.605188571,14.8483286,191.3018603
257.5,1991,2.552505,2431,-5.493221767,14.90711673,195.6475042
258.25,1991,4.014857186,2197.428571,-5.322620129,15.17555741,200.0548597
258.5,1991,43.79433313,605,-4.249109967,17.4077336,168.3034999
229.25,1992,1.87549,45,-1.1055,17.1154003,433.7005005
229.5,1992,18.16433337,482.8333333,-3.6723332,15.8366,507.4451701
230.25,1992,9.62349455,271.8333333,-2.81724995,16.27471687,493.0621745
230.5,1992,1.443562857,54,-2.007750057,16.9348289,450.8814305
231.25,1992,2.80479994,65,-2.60080008,17.0164398,415.2065918
231.5,1992,4.5137999,62.6,-2.60600006,17.35279998,373.3301941
232.25,1992,7.2118614,83.71428571,-2.821142871,17.20601407,346.2282802
232.5,1992,8.427270186,89,-2.914642829,17.14268574,343.4015634
233.25,1992,9.0174904,98.5,-3.1401249,17.02885055,336.5954895
233.5,1992,17.36899945,110,-3.3880833,16.78651715,341.9613291
234.25,1992,18.42357119,121.8571429,-3.541535757,16.60848591,346.3024292
234.5,1992,23.1986,133.6,-3.5585001,16.51976012,340.5364075
235.25,1992,26.0469999,158.5,-3.845625067,16.15065033,345.0140076
235.5,1992,14.60599995,189.75,-4.189812525,15.63718771,367.0347519
236.25,1992,21.2670002,193.125,-4.344999988,15.44710004,367.4661255
236.5,1992,14.85514257,218,-4.369142871,15.42341423,413.1361389
237.25,1992,15.3863335,237.1666667,-4.59004165,15.21153305,434.5713247
237.5,1992,18.2919998,215.5,-4.719500075,15.4096248,407.7360001
238.25,1992,18.43599985,206.5,-4.8501251,15.3485999,401.3870087
238.5,1992,18.8550005,162.3333333,-4.487000017,15.82995017,368.7720032
239.25,1992,15.6590004,138.3333333,-4.24066665,16.1076002,349.3588308
239.5,1992,12.57871396,129.5714286,-4.262071343,16.1450999,334.219853
240.25,1992,13.0345001,131.25,-4.4554374,16.00144958,323.0532456
240.5,1992,13.5619998,157.5,-4.76656245,15.60547495,323.2482529
241.25,1992,12.75885673,283.1428571,-5.176035757,15.0136858,334.8910043
241.5,1992,12.704,376.625,-5.5743437,14.44432485,342.8622513
242.25,1992,16.30249975,153.3333333,-5.40604165,14.74570003,330.110672
242.5,1992,20.84133277,188.6666667,-5.625083383,14.38403335,335.6225027
243.25,1992,21.55180014,190.2,-5.72685006,14.21966,339.494397
243.5,1992,19.95400045,241.75,-5.8819375,13.9979999,343.7589951
244.25,1992,17.83949995,429.75,-5.971906138,13.87467491,346.0063706
