year,nao.spring.mean,pdo.spring.mean,enso.spring.mwp
1999,0.0475,-2.095,-1.2725
2000,0.1225,-0.8975,-0.9675
2001,-0.1175,-1.4325,-0.5275
2002,0.49,-1.105,0.0975
2003,-0.0275,0.13,-0.21
2004,0.395,0.135,-0.0875
2005,-0.5275,0.65,0.0825
2006,0.458625,-0.0775,-0.245
2007,-0.26315,-0.0975,-0.6875
2008,-1.364275,-1.805,-0.995
2009,-0.4705,-1.2475,-0.12
2010,-0.861975,-0.75,-1.05
2011,-0.094125,-1.265,-1.3025
2012,-1.07205,-1.79,-0.1625
2013,0.612275,-0.9125,-0.8025
2014,-0.353,0.4,-0.0325
2015,-0.59375,0.8625,1.285
2016,-0.647825,1.1925,0.5075
2017,0.280525,0.2325,-0.4725
2018,1.4598,-0.48,-0.7975
2019,-1.167775,0.2125,0.2425
2020,-0.701325,-0.8825,-0.5625
