bearing2,year_t,spread_rate,snow_depth,tmin,tmean,ppt
280.5,1996,8.3350201,12391,-10.04132333,17.65649987,302.653005
281.25,1996,9.9084997,12640.25,-10.27207493,17.79492473,296.1002503
281.5,1996,14.98857129,13896,-10.83641431,18.13515744,277.8288661
285.25,1996,1.71899,14679.5,-9.15499975,16.6744499,296.1060028
285.5,1996,2.004711429,14203,-9.218142943,16.75165723,296.5154332
286.25,1996,2.44218004,13923,-9.26286624,16.79778026,297.1804016
286.5,1996,-3.7610199,13948.5,-9.3210826,16.85927538,297.7532501
289.25,1996,-0.2910005,14683,-9.4645004,17.13400075,303.8880005
289.5,1996,-0.886005333,14690.33333,-9.487557067,17.15763407,304.2093302
290.25,1996,-21.38399926,14789,-9.49046612,17.0280006,304.6329956
291.25,1996,-88.4800034,15273.5,-9.7659924,17.16450023,303.2052536
291.5,1996,-88.41000365,15625.83333,-9.93098495,17.2842668,302.8916728
292.25,1996,-73.03071593,17328.71429,-10.40693869,17.6186856,303.7231489
253.5,1997,7.5010099,5303.5,-3.087085,16.70342493,208.0600052
254.25,1997,9.561856943,6947.857143,-3.745475757,16.87315751,214.5160021
254.5,1997,5.40461598,7037.4,-3.70406806,16.87098044,222.7136017
255.25,1997,3.1725149,6681.25,-3.63191755,16.9368,236.3715019
255.5,1997,4.85400485,7408.833333,-3.848501717,17.0322164,236.6296666
256.25,1997,6.7450299,7675,-3.917223367,17.0811666,247.7126617
260.5,1997,0.850414714,3741.857143,-3.232142843,17.19642859,323.5177089
261.25,1997,-3.196003467,3761.5,-3.255833333,17.34460005,333.3678284
261.5,1997,-5.6592944,3621,-3.250381414,17.36895724,326.7974287
262.25,1997,-4.19939612,4298.8,-3.5782679,17.36956022,354.5293945
262.5,1997,32.27971431,8330.428571,-4.635808457,17.20750019,299.5701512
263.25,1997,19.31128554,8293.857143,-4.785618557,16.69971411,329.310573
263.5,1997,8.5669819,7804,-5.086934,16.16442032,400.4473999
264.25,1997,9.8859949,8002.5,-5.086417438,16.12166286,389.2036248
264.5,1997,8.251837071,8201.714286,-5.008141386,16.1488288,366.3004281
