bearing2,year_t,spread_rate,snow_depth,tmin,tmean,ppt
284.25,1997,69.939003,12329.35,-6.471098975,17.38628987,257.5116516
284.5,1997,68.7949982,12341.57143,-6.460665705,17.37678073,257.0225728
289.25,1997,53.68653404,14004.2093,-6.488008386,16.91892789,232.2672329
289.5,1997,55.02082443,13938.03922,-6.522137865,16.90363331,230.6151177
290.25,1997,57.70552482,13974.66102,-6.587136617,16.94559657,230.7067121
291.25,1997,47.2739983,13342.71429,-6.447108575,16.72368936,221.0048218
291.5,1997,45.11299895,13203.625,-6.422154175,16.66055839,219.3452091
292.25,1997,37.44605814,13177.21569,-6.434249808,16.62979018,218.5696677
299.25,1997,8.5709801,16774.15,-7.04363354,16.51102991,214.2385002
299.5,1997,12.51885136,17689.10638,-7.140468577,16.51697012,211.9367448
300.25,1997,11.742465,18015,-7.143504484,16.51435807,209.8583253
289.25,1998,1.12198,7814.521739,-9.949503857,17.47778254,244.5189116
289.5,1998,0.666283471,8370.980392,-10.0043282,17.44241371,243.1229793
290.25,1998,-1.980819481,9197.074074,-10.01195295,17.38102973,241.2733881
290.5,1998,-6.561754757,10429.94118,-9.931521959,17.25103737,238.7990187
291.25,1998,-3.162844102,11179.28302,-9.919624889,17.18921701,237.8966776
291.5,1998,3.285283657,12060.01639,-9.996534225,17.1532984,237.6100639
292.25,1998,4.89885281,12646.15873,-10.06224902,17.13448573,237.670649
292.5,1998,5.768667605,13698.9322,-10.07900202,17.05296781,238.7779135
293.25,1998,3.052,14362.44,-10.04196038,16.95640403,239.4509985
299.25,1998,6.34861069,14890.65517,-11.00969136,16.79863615,235.6381223
299.5,1998,3.33499,13896.31481,-11.05469993,16.76909624,231.6555198
300.25,1998,3.03198,13585.48148,-11.05251842,16.75978138,230.8061122
284.25,1999,35.06578675,6030.047619,-10.15286856,17.67530005,273.9860229
284.5,1999,35.25640356,6042.846154,-10.23522268,17.64891166,274.4976912
285.25,1999,29.42940872,5455.020408,-10.25447861,17.70305512,277.7685696
285.5,1999,24.22137191,4873.488372,-10.32262374,17.72693008,281.4628793
286.25,1999,23.41954211,4822.4375,-10.4228242,17.69391863,282.2394753
286.5,1999,20.34136392,4674.818182,-10.5227455,17.66584314,284.065997
287.25,1999,20.53716107,4924.178571,-10.66531076,17.62401608,283.7026046
287.5,1999,20.73098451,5237.953846,-10.80397848,17.58313079,282.5774583
288.25,1999,18.36035477,5369.096774,-10.8903,17.55124197,282.925352
288.5,1999,13.86925026,5715.785714,-10.98251602,17.52123397,282.7659983
289.25,1999,10.34558575,6180.080645,-11.07151609,17.48699853,280.9221595
